구분,조사면적(ha),추정량(ton)
평택시,730,60
안산시,650,77
시흥시,0,0
김포시,0,0
화성시,0,0
중구,0,0
남동구,0,0
동구,0,0
서구,0,0
강화군,0,0
옹진군,0,0
연수구,0,0
강릉시,26,75
속초시,310.7,54
고성군,0,0
동해시,0,0
삼척시,0,0
양양군,0,0
강원도청,0,0
보령시,3534.9,98.2
아산시,0,0
서산시,1397.7,37
서천군,460.4,75
홍성군,523.4,63.6
태안군,0,0
당진시,0,0
중구,0,0
서구,0,0
동구,0,0
영도구,9,76
남구,0,0
북구,0,0
해운대구,0,0
사하구,0,0
강서구,0,0
수영구,0,0
사상구,0,0
기장군,0,0
항만관리사업소,0,0
남구,712.7,11
동구,0,0
북구,0,0
울주군,0,0
포항시,6800,61
경주시,0,0
영덕군,0,0
울진군,0,0
울릉군,0,0
창원시,203,65
창원시 마산합포구,1238.7,49
창원시 성산구,0,0
창원시 진해구,826.7,43
통영시,158.4,158.4
사천시,971.5,53
거제시,532.7,278.9
고성군,0,0
남해군,0,0
하동군,0,0
목포시,0,0
여수시,109.1,233.9
순천시,400,22
광양시,1027,94
고흥군,826,0
보성군,0,213
장흥군,0,0
강진군,0,0
해남군,0,0
영암군,205,93
무안군,229.6,377.5
함평군,0,0
영광군,0,0
완도군,0,0
진도군,0,0
신안군,241.5,13
울진군,0,0
군산시,568,77
부안군,0,0
고창군,0,0
제주시,260.7,87
서귀포시,0,0
